exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
inception-timebp,5fold,ring1,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,136,8.68±0.60,11.16±4.15,13.12±0.93,0.01±0.09
inception-timebp,5fold,ring2,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,97,11.16±0.70,13.10±4.48,16.49±0.90,-0.05±0.10
inception-timebp,5fold,ring1,all-folds,BP_sys,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,136,14.79±0.93,18.29±6.24,13.54±0.77,0.08±0.09
inception-timebp,5fold,ring2,all-folds,BP_sys,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",inception_time,200,0.001,mse,128,97,17.03±1.15,20.41±7.24,15.53±0.92,-0.07±0.10
inception-timespo2,5fold,ring1,all-folds,spo2,"['ir-filtered', 'red-filtered']",['spo2'],inception_time,200,0.001,mse,128,456,3.31±0.15,4.57±1.37,3.66±0.18,-0.01±0.05
inception-timespo2,5fold,ring2,all-folds,spo2,"['ir-filtered', 'red-filtered']",['spo2'],inception_time,200,0.001,mse,128,262,3.55±0.22,4.97±1.60,3.96±0.25,0.03±0.06
mamba2bp,5fold,ring1,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,136,9.67±1.22,17.19±12.62,15.20±2.01,-0.10±0.09
mamba2bp,5fold,ring2,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,97,9.94±0.79,12.59±4.66,15.94±1.41,-0.07±0.10
mamba2bp,5fold,ring1,all-folds,BP_sys,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,136,13.99±0.88,17.30±5.75,13.12±0.79,-0.02±0.09
mamba2bp,5fold,ring2,all-folds,BP_sys,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",mamba2,200,0.0001,mse,32,97,14.56±1.04,17.76±6.28,13.79±0.98,0.09±0.10
mamba2spo2,5fold,ring1,all-folds,spo2,"['ir-filtered', 'red-filtered']",['spo2'],mamba2,200,0.0001,mse,32,456,3.62±0.17,5.12±1.51,4.04±0.20,-0.08±0.05
mamba2spo2,5fold,ring2,all-folds,spo2,"['ir-filtered', 'red-filtered']",['spo2'],mamba2,200,0.0001,mse,32,262,3.37±0.19,4.52±1.46,3.71±0.22,0.13±0.06
resnetbp,5fold,ring1,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,136,8.48±0.53,10.51±3.56,13.10±0.86,-0.14±0.09
resnetbp,5fold,ring2,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,97,9.73±0.78,12.39±4.85,15.61±1.44,-0.14±0.10
resnetbp,5fold,ring1,all-folds,BP_sys,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,136,14.52±0.97,18.38±6.34,13.05±0.77,0.18±0.09
resnetbp,5fold,ring2,all-folds,BP_sys,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,97,17.47±1.15,20.78±6.90,16.75±1.12,-0.06±0.10
resnetspo2,5fold,ring1,all-folds,spo2,"['ir-filtered', 'red-filtered']",['spo2'],resnet,200,0.001,mse,128,456,3.22±0.14,4.46±1.35,3.57±0.17,0.01±0.05
resnetspo2,5fold,ring2,all-folds,spo2,"['ir-filtered', 'red-filtered']",['spo2'],resnet,200,0.001,mse,128,262,3.62±0.22,5.02±1.61,4.03±0.25,0.11±0.06
transformerbp,5fold,ring1,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,136,7.47±0.52,9.59±3.49,11.56±0.86,-0.16±0.09
transformerbp,5fold,ring2,all-folds,BP_dia,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,97,8.20±0.68,10.56±4.15,12.78±1.12,-0.17±0.10
transformerbp,5fold,ring1,all-folds,BP_sys,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",transformer,200,0.001,mse,16,136,13.48±0.82,16.49±5.36,12.76±0.76,-0.09±0.09
