exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
fft,test,ring1,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,1929,9.32±0.40,19.80±4.81,10.90±0.43,0.36±0.02
fft,test,ring2,,hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,1834,15.10±0.46,24.85±5.25,17.93±0.51,0.08±0.02
fft,test,ring1,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,237,11.37±1.26,22.43±8.83,13.16±1.34,0.40±0.06
fft,test,ring2,,oura_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,160,17.62±1.75,28.28±10.69,20.06±1.79,0.09±0.08
fft,test,ring1,,oura_hr_com,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,237,10.09±1.13,20.05±9.23,14.67±2.23,0.47±0.06
fft,test,ring2,,oura_hr_com,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,160,10.56±1.43,20.88±10.67,14.38±2.63,0.49±0.07
fft,test,ring1,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,186,12.06±1.50,23.70±9.73,13.72±1.57,0.33±0.07
fft,test,ring2,,samsung_hr,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,120,20.25±2.22,31.57±12.21,22.30±2.20,-0.03±0.09
fft,test,ring1,,samsung_hr_com,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,186,9.90±1.25,19.72±9.49,13.94±2.34,0.56±0.06
fft,test,ring2,,samsung_hr_com,['ir-filtered'],"['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",fft,200,0.001,mse,128,120,9.94±1.57,19.78±10.91,13.32±2.83,0.61±0.07
