exp_name,mode,ring_type,fold,task,input_type,dataset_task,method_name,epochs,lr,criterion,batch_size,sample_len,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
5fold-resnet-ir-red-imu-hr-ring1,5fold,ring1,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1929,7.29±0.19,10.93±2.68,9.50±0.31,0.58±0.02
5fold-resnet-ir-red-imu-hr-ring2,5fold,ring2,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1834,9.16±0.20,12.51±2.78,11.95±0.33,0.10±0.02
5fold-resnet-ir-red-imu-comb-hr-ring1,5fold,ring1,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1929,6.65±0.18,10.25±2.68,8.90±0.34,0.65±0.02
5fold-resnet-ir-red-imu-comb-hr-ring2,5fold,ring2,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1834,7.88±0.19,11.22±2.68,10.36±0.31,0.39±0.02
5fold-resnet-ir-red-imu-rr-ring1,5fold,ring1,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1870,3.65±0.07,4.70±0.91,22.64±0.52,-0.01±0.02
5fold-resnet-ir-red-imu-rr-ring2,5fold,ring2,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1704,3.36±0.07,4.41±0.89,20.78±0.61,0.14±0.02
5fold-resnet-ir-red-imu-comb-rr-ring1,5fold,ring1,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1870,3.38±0.06,4.36±0.84,21.34±0.52,0.14±0.02
5fold-resnet-ir-red-imu-comb-rr-ring2,5fold,ring2,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,128,1704,3.46±0.07,4.40±0.85,21.61±0.59,0.12±0.02
5fold-resnet-ir-red-imu-hr-ring1,test,ring1,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",resnet,200,0.001,mse,128,191,19.63±1.10,24.83±7.46,27.34±2.35,-0.00±0.07
5fold-resnet-ir-red-imu-hr-ring2,test,ring2,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",resnet,200,0.001,mse,128,181,16.46±1.12,22.32±7.71,22.50±2.44,-0.20±0.07
5fold-resnet-ir-red-imu-hr-ring1,test,ring1,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,1738,5.93±0.13,8.06±1.73,7.54±0.17,0.73±0.02
5fold-resnet-ir-red-imu-hr-ring2,test,ring2,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,1653,8.36±0.17,10.92±2.19,10.80±0.23,0.10±0.02
5fold-resnet-ir-red-imu-rr-ring1,test,ring1,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",resnet,200,0.001,mse,128,195,5.84±0.28,7.05±2.05,25.42±1.24,0.02±0.07
5fold-resnet-ir-red-imu-rr-ring2,test,ring2,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",resnet,200,0.001,mse,128,172,5.14±0.28,6.31±1.84,25.52±2.11,0.21±0.07
5fold-resnet-ir-red-imu-rr-ring1,test,ring1,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,1675,3.40±0.07,4.35±0.87,22.32±0.56,-0.08±0.02
5fold-resnet-ir-red-imu-rr-ring2,test,ring2,all-folds,resp_rr,"['ir-filtered-rr', 'red-filtered-rr', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,1532,3.16±0.07,4.15±0.88,20.25±0.64,0.08±0.03
5fold-resnet-ir-red-imu-comb-hr-ring1,test,ring1,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,1738,5.28±0.12,7.26±1.59,6.77±0.16,0.81±0.01
5fold-resnet-ir-red-imu-comb-hr-ring1,test,ring1,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",resnet,200,0.001,mse,128,191,19.08±1.07,24.10±7.64,28.29±2.73,-0.03±0.07
5fold-resnet-ir-red-imu-comb-hr-ring2,test,ring2,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['sitting', 'spo2', 'talking', 'shaking_head', 'standing']",resnet,200,0.001,mse,128,1653,6.94±0.15,9.34±2.06,9.03±0.21,0.46±0.02
5fold-resnet-ir-red-imu-comb-hr-ring2,test,ring2,all-folds,hr,"['ir-filtered', 'red-filtered', 'ax-standardized', 'ay-standardized', 'az-standardized']","['deepsquat', 'striding']",resnet,200,0.001,mse,128,181,16.44±1.08,21.87±7.43,22.46±2.36,-0.02±0.07
